Brunnen St.Urban;http://lh6.ggpht.com/r3L8fU0d0yflWUndLiRuxmRTuxytE2AcwNCoDHfeadgNbREzlraEn_Itqt7glKU7JCE7QkvNdDRFEPqgxYZk;772149138ecc496e822dde470aa52379.16;48.005604;7.86717
Strassenbibliothek Herdern;http://lh3.googleusercontent.com/lo4iDjFdYAUtxq6meXwSIpTEEmZhtVLuakyS5o6qhNMzppduJMz7boMY1K1c9ufyWQXBr6Ho55H7cU1Lgxpr;bae432bc29d84c4fa2d4c9c1b8d53ef3.16;48.007748;7.863968
Sankt Urbans Kreuz;http://lh3.googleusercontent.com/IFAUMr0G7ftRTtAFd27S2aaNrUHv1OsrfkI4JigFn7p5kp_e2Sf_hjQjhk4j0DyNuIfebBIIbKT21EDll-5vuw;ef742d8cc10643739d7767bbc3a72faf.16;48.00718;7.864189
Klettergerüst Waltersbergweg;http://lh3.googleusercontent.com/7RQ7PX0Ar3_Vh5ooIfQLinqbsvWcXmhdlUm7Xf7zjjOUhttvVcqHlOoBJP0l6PxDWeqbEl2787AOofygd1E;22b511b8e61c4c8b8b8aa88ec42bbb4a.16;48.006723;7.870407
Kirche Herdern ;http://lh3.googleusercontent.com/s98wAeMDEfTa0QBQsOOf3fGrS5tTpYRMMyQVmhkxzJvYc4ksxTEn8gg2IsD--vyo8ZB1oclX-ec5j9T6lVUTDA;9f6b0762ea6a45b1b50712642fb1abcf.16;48.006946;7.863863
Wandskulptur;http://lh3.googleusercontent.com/QkJTzhL9fNsaCn6X4Mhdkvj1GEFXb5TzE8mSxMXynejSijs9mw4PGZTfUxZiidwHbfnHk4ZfmXgmMXNAiaFGvw;f0b29b9c107642feb159543e37b56d5a.16;48.006603;7.864816
Gedenkstein Sankt Urban;http://lh3.googleusercontent.com/ayM-eNcTiTkDqkIs7esU-NtoJTuWEkrcVsnEqKldRSFQrN6OFbsdygDCE4BDjARldXkn_Snl3U4iEuyqadcn;d58538dd05cf45779759bbb90db64d84.16;48.007453;7.864367
Succubusbrunnen;http://lh3.googleusercontent.com/tjy0OgZ3T9HgtuEMpewcTnX0F8KeBo0MCTdUxh_MNzDVFkCQaH3w4T3hHmsxIxL5lJyD729Fce-njhsy8HTEjA;e380b9e087a544df838ca50319607c47.16;48.007293;7.869339
Gedenkstein;http://lh5.ggpht.com/Vvxwbh6JWI1ktOb7SGimQeE4oqLoHlMf45OZQKfUHPc7Tb7Xq5uAjGurNlhN3W6CTwywc1TxOD2-XZ38SLo9Zg;04184a4fcd8948b5a6947c2325a066ca.16;47.98845;7.796019
Altes Depot;http://lh3.ggpht.com/OUm4eNKxwXUuEVuCMRgBQdfJazE-RgAC1nf-NTonrG8GIbI7GQLEEzlKTDMkcO_sihX80Q8fT4U9AeAIc_8q7Q;b7947472689b405d831443a6f0184eee.16;48.000977;7.867378
Bäckerei Bühler;http://lh6.ggpht.com/pAeZ5pEhSFVV56N-1znbcR0bZZKtv34J850RT0i3j9FCNqYmVuMx8mq2VSvwW8DV-vyTq3jezYCUbhzsxV69FA;8743e6ecbb6a4d838fae7a5c40b0f242.16;47.986898;7.850582
Eule Freiburg;http://lh4.ggpht.com/ES3-E23D8aeIL28rCIh7Q6QIMxjVuKR74ePQUKQRREYvgLGyfByBW6uzTATkuTpNGEqBMD0xHC8ipWeKytk;0cf96ab2baa246f58ad509a8e9fb8d78.16;47.989398;7.847463
Sleeping  Man;http://lh6.ggpht.com/ptCZLkjHpjxC_ULWV-B06pLpacUZYE8C-Np8Hp0ZOnJSuTAFAzcxQQLb3oBRb3MsJyPXDBg3WG3xlXcCqXGP;7c45d20993c84102b08b567741027181.16;47.989107;7.850637
Kaffee Time Out ;http://lh4.ggpht.com/-2bpPS8EClKAOpyKJTvzM54asdS3nphuatQKU0tKbL9T_hIEAsibcYdx5ZMgoAzOaXa7e-RJoHT57voBSh2p;eaeef6392c184f9b94bce1aadbd74ef4.16;47.988811;7.849838
Dionysos;http://lh6.ggpht.com/zUdTKKjOrYYtDFjTV10XMXw-VFzENH4HfiJMuQ4rSfLiMvYnKhRh-nJGhZuN6Y1-6S26hSP3ui5a_v0EtQ;0adbcd9110254669885b9f3c1c8069f0.16;47.98835;7.846017
Lautloser Jäger Der Nacht;http://lh3.ggpht.com/FO5Hn0_9fB5QQTOpivyThvJMtGqVBGidp4AykpZz_UmqiBVPXc5JGBzYhdvgPKYYay_lQiqfMLu0EVeS5qRT;9be597dab1194b72b0237451ff6d3cf0.16;47.988657;7.851117
Steinbrunnen;http://lh3.googleusercontent.com/QBod0-LjdN0eK3-PGr95ABnGgAviz8_xtSx1JhVFAi4vCZKKwbbClzG8OYftaJsiHDxqEEJ3lEFa9fJLa-Q;a6e65943300e4ff99f2c8a018c6e2871.16;47.987746;7.851112
Sonnen mural;http://lh3.googleusercontent.com/taLVUD79o2yXawFHlBptDrYSsYI4_hOOsEAOB0WTXpJoxjHqMQaKemVYKWbMnGVNn8P68I4k_I-V0CmaiG57;12c7da24122e4889bad8d18f7ab730a1.16;47.989597;7.84176
