Nadelwald Tattoo ;47.988718;7.867096
Kinder Skulptur Am Stadtrainsee;48.0892;7.957628
Pferd;47.994431;7.853708
Karma Buddha;47.996318;7.844359
Zu unser Frauen Berg;47.996105;7.84817
Dionysos;47.98835;7.846017
Erzbischofskirche;47.994932;7.853788
Spielplatz ;48.02406;7.861133
Brunnen In Der Passage;47.995467;7.849663
Kaiser Joseph Str. Brunnen;47.991178;7.848283
Regenbogen Stift;48.03914;7.811846
Katze;47.991231;7.846571
Schattenstein;48.003313;7.817049
Trojanisches Pferd ;48.011766;7.782297
Kaffee Time Out ;47.988811;7.849838
Kunstruine;47.992217;7.849777
Stätische Kinderschule;48.092712;7.96129
Kornkreis;47.989937;7.847972
Gottesackerkapelle;48.02195;7.861134
Halfpipe Dietenbachpark;48.002522;7.804419
Steinskulptur;47.99367;7.846899
Graffiti Dreisam-Unterführung;47.990829;7.84399
Lebens Portal;47.990328;7.857221
Mundenhof Spieldrache;48.013358;7.782267
Jesuskreuz;48.020328;7.862371
Alien Flat ;48.029677;7.809013
;47.990043;7.851866
Altstadtbrunnen;47.995875;7.847885
Aristoteles;47.993675;7.846064
Gertrud Luckner Stolperstein;47.988965;7.846101
Bildstock St. Margarethe;48.091669;7.962503
Graffiti Unterführung ;47.989315;7.858823
The Pipe;48.001751;7.80616
Anker;47.992421;7.851521
Drunk Monk Street Art;47.993371;7.850858
Rathaus Waldkirch;48.091708;7.961742
LKW Mann;48.039507;7.808133
Bloody Mary ;47.993348;7.848933
Sleeping  Man;47.989107;7.850637
Arche Noah ;48.012842;7.782718
Zaehringen Tower Murale ;48.022922;7.861664
Tischtennis mit Graffiti;48.02078;7.860443
Kronenpokal;47.989293;7.843808
25 Jahre Landwasser;48.028679;7.805132
Paulussaal Freiburg;47.991079;7.849307
Steinmann Gundelfingen;48.040243;7.865339
Grüne Pumpe;48.000513;7.852121
Freiburg Synagoge;47.996354;7.853567
Bürgerhaus;48.019354;7.858367
Badisches Mosaik;47.985363;7.828434
Rottecksruhe;48.000227;7.856665
Hebsackwiesen;48.009221;7.86663
Mosaik;47.996705;7.847366
Freiburg: Wave Portal;47.996606;7.850774
Ebnets Bauernhöfe;47.986273;7.905915
Wasserspeier Zentralhotel;47.997415;7.851505
Kaiserstier;47.996872;7.851845
St. Nepomuk ;47.987371;7.896606
Goldhuus;47.998008;7.854229
Festung Freiburger Schlossberg - Die Peterskirche;47.997431;7.867329
Wine in the City;47.99703;7.845898
KTS;47.986006;7.831103
Freiburg: Column Portal ;48.000302;7.852308
Sonnenuhr & Uhr - für Regentage;47.999584;7.845498
;48.003151;7.845024
Sikawild ;48.08614;7.958198
kleines Steinportal;48.007788;7.869689
Wasserschloß ;47.979015;7.915247
Kleiner Steinmetzbogen;47.982833;7.832445
Flower Power ;48.001017;7.84775
Stone Woman;48.048688;7.862545
Siegesdenkmal;47.998144;7.851569
Stadt Freiburg Stein;47.989834;7.894131
Fässlestemmer;48.042451;7.866293
Adler im Zoo;48.086841;7.959896
Eingang Friedhof Gundelfingen;48.045775;7.867731
Wegkreuz Zähringen Oberdorf;48.016599;7.8653
Frosch Kinderklinik;48.003409;7.843476
Biologische Untersuchungsstation ;47.980208;7.911503
Café Velo;47.996594;7.839558
White Dragon;48.01118;7.810919
Big Boulder ;47.996283;7.873394
Rutschenturm;48.004467;7.818518
Kirche Betzenhausen;48.009631;7.808021
Matthäuskirche - Jugendtreff;48.008956;7.813979
Klettergerüst Oktagon;48.007113;7.812409
Maximilian Dortu's Crypt;47.985846;7.857125
St. Barbara Church ;47.980125;7.897548
Wasch und Backhaus;48.022767;7.860631
Trophy at Night;48.01167;7.841475
Broken Arm Statue;48.008558;7.83998
Stadtrat Karl Walterspiel;47.96618;7.836113
Der Merkur;47.987973;7.898235
Goldmarie;48.008677;7.846826
Waschanlagenkirche;48.018699;7.842661
Fabrik Sonntag;48.097844;7.967188
Der Mars;47.988603;7.897108
Fische sind Freunde;47.995222;7.843665
Lux Aeterna;48.007404;7.871225
Mach Mal Pause;48.027549;7.845635
Waldkirch Burghütte;48.097935;7.957417
Narrenbrunnen;48.093345;7.960878
Berufliches Schulzentrum;47.999781;7.826043
"Graffiti ""Sport""";47.996812;7.843383
Brunnen bei Nacht;47.996815;7.856622
Loretto Brunnen;47.984444;7.847777
Die Venus;47.988198;7.897871
Spielplatz am EKZ;47.994938;7.810651
Matsuyama;47.996373;7.849397
Kinderhaus Fang Die Maus ;48.004257;7.816031
Angler Am Rabenturm;48.093876;7.959391
Kopfüber ;48.085857;7.958177
Weird Metal Thingamagiggy;48.028976;7.807676
Schachmatt;48.004886;7.809802
Jugendtreff;48.067858;7.894823
Der Kran ;47.980383;7.902789
Alien Ice Cream;47.998164;7.849284
Die drei Schönen;47.974767;7.908968
Rechtmediziner;48.000749;7.851324
Krozinger Straße;47.992861;7.810141
Leichtathletik;48.071388;7.897996
Eule;48.009201;7.803553
Drehscheibe ;47.993427;7.810877
Kultur und Bürgerhaus;48.068206;7.897965
Grafitti am Service Center Studium;47.994788;7.844112
Gedenktafel;47.981159;7.899721
Dank den Schweizern;47.984925;7.854106
Graffiti Heads;48.069742;7.89612
Stadtkapelle;48.093286;7.960232
Weingarten Mosaik;47.99452;7.810071
Statue Alexander Ecker;48.000941;7.850436
Scheffelhof;48.094336;7.96506
Steinman Mit Mütze;47.991697;7.880158
Europa Wir Kommen;47.987688;7.873265
Pyramide;47.995289;7.81054
Holzeule 1;48.072607;7.893046
Freiburger Wasserweg;47.982515;7.904379
Heimat;47.998239;7.848161
Beachvolleyball;48.071417;7.897231
Gewaltopfer Baum;47.9961;7.846522
Kirche der Paul-Gerhardt-Gemeinde;48.107489;7.97654
Kriegsopfer-Gedenkstein;48.074808;7.893166
Brunnen an der Sparkasse;48.094061;7.963002
Orgelfabrik Xaver Bruder;48.091024;7.964873
Denzlingen St. Jakobus Kirche;48.070214;7.890756
Dädalus-Skulptur;48.093736;7.970389
Kleiner Meyerhof;47.996289;7.847652
Waldkircher Friedhof;48.094674;7.972455
Schlösslescheune von 1614;48.091314;7.965717
Ebnet Schlössle;47.987484;7.901901
Nathan Block Stolperstein;47.9942;7.843178
Platz der Weißen Rose;47.994306;7.846806
Ufo In Waldkirch;48.088683;7.944578
Station Drechseln;48.066021;7.8532
Suggentalerweg;48.068293;7.913283
KGII Concrete Structure;47.997158;7.844247
Freiburg Hauptbahnhof;47.997595;7.842275
Rupert-Fischer-Brunnen;48.00496;7.87346
Antike Vase;47.998211;7.843328
Naturerlebnispark Waldkirch;48.087315;7.951912
Der Anker;48.000783;7.845103
Steinfigur;48.071247;7.899848
Vereinte Nationen ;47.989863;7.872497
Stolpersteine;47.998363;7.844539
Alte Schmiede;48.065772;7.852636
Kreisel Konzerthaus;47.995863;7.841659
Nerthus-Kult;48.065523;7.852948
Freiburg Im Breisgau;47.99579;7.842209
Spinning Top;47.99538;7.841128
Post Mann;48.000312;7.8131
Kreuz von Batzenhäusle ;48.086363;7.93039
Spielplatz im Heidach;48.068433;7.905703
Schlangenrutsche;48.001312;7.806456
Kunst Am Platz;47.99755;7.859092
Energytails Fountain;47.992089;7.872052
Minigolf Denzlingen;48.073496;7.903337
Spielplatz Erfurter Straße;48.072079;7.901286
Mensatotempfahl;48.002449;7.849214
Intercity Hotel Skulptur;47.997105;7.841821
Commerzbank Freiburg;47.99858;7.843627
Kristallographie;48.002677;7.850305
Spechtpassage;47.99451;7.841235
Stolpersteine Abraham und Grumbacher;47.997417;7.843671
Kneippanlage;48.094076;7.981475
G.v. Hevesy Stolperstein;48.001365;7.847575
Stühlinger 1885-1985;47.996462;7.838728
Blechbläser Bei Nacht;48.067235;7.882812
;47.982433;7.854521
Rusty Needle;48.002646;7.848147
Clubheim VFR Vörstetten;48.060807;7.844172
Kunst am Bach;47.992413;7.84108
Gasthaus Hirschen;48.064778;7.891934
Trimmdichpfad Reckstangen;47.981651;7.857554
Spielplatz Grünmattenstraße;48.069719;7.907664
Denzlinger Wappen;48.067738;7.895325
Jazzhaus;47.994903;7.840449
Biene Maya Kolonien ;47.989444;7.903644
Brunnen Altenheim;48.071187;7.90335
Übersicht Umgebung ;47.985547;7.903156
Birdie;48.06895;7.882363
Festung Freiburger Schlossberg - Der Kommandantengarten;47.996811;7.864973
Kepler;48.002909;7.856811
Grenzstein Ebnet 1790;47.986708;7.904471
Spielplatz;47.984789;7.851332
Bahnhof Gundelfingen;48.043997;7.874269
Flötist Stadtgarten;47.997355;7.857937
Postbank ;48.067354;7.885546
Karlstr Cross;48.001352;7.856594
Rudolf Schilling Brunnen;47.984938;7.849872
Ishibashi Ishiguro;47.997019;7.858699
Gundelfingen;48.035293;7.863748
Bücherzelle Denzlingen;48.066994;7.883231
Mühlenstein;48.066304;7.885837
Kapelle Im Alten Friedhof;48.000926;7.857031
Stahl und Stein;47.992141;7.86878
Ein Vogel Im Wald;47.989292;7.902333
Gasthaus zum Gruenen Baum;48.067485;7.881631
Trimmdichpfad Hangelleiter;47.980789;7.856051
roccafe;48.066445;7.884025
Pavilion Tausendfühler;47.98804;7.813166
Jugendtreff Brühl-Beurbarung Graffito;48.005096;7.844057
BÄKO Südbaden;47.985632;7.805837
Renaissance ;48.008481;7.843162
 Blue Marlin;47.985995;7.81174
Wooden Men Sculpture ;48.005604;7.851845
XIIII  Leichnam ins Grab;47.981216;7.837763
Power Murale ;48.004135;7.852146
Hidden Lady Mary;48.008112;7.844157
I. Jesus wird verurteilt;47.981665;7.838852
The Bird and the Cloud Sky ;48.008331;7.842156
Heckenkunst;47.981691;7.892677
Blonde Lady;48.000319;7.839973
Löwen Pavilion;48.007976;7.843316
Jesus Christus;47.981465;7.838618
"Gedenkkreuz ""Wort des Trostes""";48.012094;7.809712
Spielplatz Kampffmeyerstrasse;47.988687;7.811792
Frauenstatue Bergäcker;47.982338;7.887384
Monolith Old Cemetery;47.981656;7.788399
Steinofen;47.974764;7.823236
Man with Pig;48.005719;7.853053
Röhrenkunst;47.991858;7.861943
Ritter Martin Malterer;48.098057;7.956688
Pyramiden-Seil-Spielplatz;48.029741;7.861107
Kath.Kindergarten Maria Hilf;47.987592;7.86667
Apostel Statue;48.008696;7.846178
Ball Sport Halle;48.072047;7.896907
Eichenlaub Mosaik;47.997018;7.842498
Kunstsitz;47.995964;7.847161
Caritas;48.012319;7.805805
Windrad-Steckdose;48.001104;7.842367
Nie wieder Krieg;48.000756;7.842487
Stolpersteine;47.999624;7.836982
Uhrturm Littenweiler ;47.981753;7.894316
Terassengarten Loretto Krankenhaus;47.982234;7.840305
Denkender Engel;48.008142;7.845498
Chromosomen;47.980678;7.892605
Gundelfingen Endhaltestelle;48.034651;7.863393
Freibourg;48.008835;7.844851
Vogelbad Uniklinik;48.00529;7.839876
Kepler Basketball Planet;48.001304;7.793669
Synchron Spirals;48.005013;7.841443
Mysteriöse Musik-Statuen;47.98888;7.872584
Pavillon Waldsee;47.982583;7.876431
Hidden Fountain;48.008764;7.841009
Pflug;48.011756;7.808066
Mosaik;48.007161;7.835691
Kinderstatue;48.004321;7.843176
Shake Plates;48.003598;7.842993
Bruckwaldweiher;48.093658;7.983436
Ritter Hermann von Sulz;48.096337;7.956721
Lehen Ortseingang;48.01335;7.807324
Weisse Knubbel;48.005198;7.842644
Wasserspender;48.008942;7.839728
Graffiti (Tunnel);48.012202;7.807792
Ebneter Schlosssteg;47.983816;7.902963
Moin Blocks;47.974301;7.829809
Stonehenge;48.012167;7.811611
St. Carolus Waldkirch;48.091519;7.946459
Ritter Martin Malterer;48.096242;7.957476
Altes Rathaus Littenweiler;47.97931;7.895824
Breite Rutsche;47.974224;7.814846
Vogel Im Zoo;48.085608;7.959514
Waldpavillion;47.984712;7.873025
Kapelle der Uniklinik;48.006557;7.838137
Iron Jesus;48.007812;7.841089
Höhlenmalerei;47.976909;7.814761
Frosch König;47.981212;7.889596
Der Boden Lebt ;48.085409;7.958405
"Kreuz ""Gemeinde Littenweiler"" ";47.980632;7.897742
Stromverteiler;48.044366;7.87421
Mauerreste;47.993696;7.861072
Rooftop;48.000329;7.828066
Centuries Old Foundation Stone;48.022805;7.864712
Soccer And BBQ;48.009158;7.835468
Gedenkstein;47.999987;7.829334
Klettergerüst Waltersbergweg;48.006723;7.870407
Storchenpaar;48.004957;7.836192
Metropolis;48.003175;7.834454
Riesen Eistüte;48.005722;7.82728
Ziehharmonika Relief;47.994218;7.828705
Stromkasten;47.987691;7.868824
Zitronenpresse;48.005698;7.820533
Lehen Erstes Kreuz;48.019588;7.801909
Kreative Energie;48.040113;7.859775
Brunnen im EKZ Landwasser ;48.023701;7.809955
Roter Otto;48.024719;7.810643
Kunstwerk am Universitäts-Notfallzentrum;48.007975;7.838172
Freiburger Rabe;47.988755;7.868704
Wappen 1889;48.008861;7.831575
St. Petrus Church;48.023263;7.808208
Solare Energiesysteme;48.008672;7.83437
Baum des Jahres 2011;47.998704;7.82904
Studentenwohnheim Berliner Allee;48.003322;7.820544
Marktplatz-Brunnen - Waldkirch;48.093481;7.961466
Kloster der Herz-Jesu-Priester;48.010846;7.85795
Springbrunnen;48.007504;7.830964
Planetarium Freiburg;47.999188;7.843148
Stone Nut;48.045769;7.869358
Holbeinplatz;47.981445;7.845121
Stepping Stones;47.973686;7.828384
Das Auge;48.006996;7.835686
Energy Tower Gundelfingen;48.046016;7.874431
Gerüst;47.988044;7.867338
Fiddlesticks Grafitti Wall;48.006441;7.820398
Zombie Django;47.974494;7.826699
Edelsteinschleiferei;48.096236;7.963233
Kreuzigung Eschholzstraße;47.995983;7.834167
Homestar Runner;47.997592;7.828333
Bundschuh;48.017122;7.802287
Statue Stühlingerpark;47.996723;7.837902
Schützen ;47.988088;7.865956
Lehen St. Cyriak Kirche;48.017492;7.801861
Entenbad Haslach;47.989657;7.823252
Graffiti;47.997419;7.836576
Hölzerne Bäume Tor;48.004736;7.828713
Stolpersteine C.  und L. Judas ;47.989549;7.866588
Markstein Lehen;48.017402;7.803796
Kruzifix Stadtstrasse ;48.00477;7.863389
Steinkringel;47.987951;7.865073
Graffiti Runzmattenweg;48.002393;7.825683
Jesuskreuz;48.095698;7.961448
Bartmann;47.998718;7.83107
Christliche Missionsgemeinde;48.01917;7.852971
Brunnen St.Urban;48.005604;7.86717
Lycée Turenne ;47.987434;7.866333
Wasserhahn Eschholzpark;47.9997;7.830456
Brunnenversiegelung;48.025397;7.804037
Minispielplatz Haslacher Strasse;47.99619;7.824346
Altes Depot;48.000977;7.867378
Artistic Box;47.99695;7.836292
Construction Site Art;48.000003;7.832486
Phyllobates terribilis;48.043901;7.877997
Gehlert-Brunnen;48.029057;7.84395
Haslacher Str;47.995641;7.824799
Mundenhof ;48.008939;7.781608
Skater Park;47.995836;7.78475
Herderner Rammbock;48.00333;7.861962
Des Nahen Waldes Reine Quelle;47.987859;7.863784
The Frog;48.023977;7.809148
Thai Chi Buddha ;47.996758;7.844517
Weststadion Freiburg;48.00703;7.825502
Skulptur am Rosengarten;48.007611;7.824036
Hotel Parking;47.986951;7.838928
Uni Radio;48.014015;7.831736
Gazebo West;48.006519;7.823463
The Eagle;48.003876;7.853516
Ein Rotes Kreutz;48.024069;7.794856
HKDM;47.992825;7.832372
Uni Logo XXL;48.012724;7.835477
Tischtennis An der Tf;48.01481;7.831238
Adler 1913;48.012858;7.833983
Freiburg: Iron Portal;48.005016;7.854963
Artsy House;48.008657;7.863259
Eugen Martin Anlage;48.006716;7.824081
Ohrmuscheln;47.993115;7.832663
Holzkreuz aus Stein;48.000994;7.858433
Festung Freiburger Schlossberg - Das Obere Schloss ;47.996562;7.866182
Naturschutzgebiet Rieselfeld 01;47.998188;7.784389
Goldenen Hirsch;48.015481;7.802036
Apotheken Street Art;47.997177;7.84992
Kultur- und Bürgerhaus Denzlingen;48.068567;7.898108
Zelt Musik Festival;48.008385;7.780259
Swirl Portal Fabrik;48.010941;7.855865
Waser Piramid ;48.007698;7.823779
Jaeger Brunnen;47.971354;7.852956
Tramtower Skulptur;48.001141;7.786997
Rail man;48.014754;7.845807
Erhaltenswertes Grabmal;48.007897;7.845242
Schnürsenkel;47.989991;7.841731
Weltkugel;47.998473;7.858336
Lalli-Brunnen;48.00768;7.863428
Brunnen am Erlenweg;47.992767;7.831345
Man and Duck ;48.005403;7.853027
Rumpelhausen;47.99389;7.8362
Grünhof;47.99413;7.839893
Menschenkreuz;47.982328;7.888611
Trotte St. Schorsch ;47.979809;7.794673
Zur Ehre Gottes;47.980874;7.883157
Spiderweb House;47.997023;7.819184
Tree of Life;48.009884;7.839064
Namenlose Dame;48.010234;7.839715
Bhf. St. Georgen;47.97569;7.802795
Mund 👄 Zu;48.002624;7.859799
Internet Explorer;48.008267;7.871881
Waldorf Brunnen;47.974087;7.801215
Baumhaus;48.011071;7.841748
Jesu Kreuz Andreas;47.979105;7.808623
Königliches Entree;47.994386;7.850206
Mais Man;48.01348;7.83927
Eingangswächter Löwen OBV;48.025702;7.847411
;48.00467;7.860334
Engel Nero  ;48.010734;7.840106
Skulpurenkreis;47.97472;7.801884
Ev. Ludwigskirche Freiburg-Herdern;48.002167;7.85906
Grabmal des steinernen Baums;48.010321;7.839993
Deutsche BANK ;47.99049;7.848384
Zähringer Kreuz;47.984834;7.848152
Mundenhof Jurte;48.016146;7.777756
Riesenerdbeere;48.021758;7.839802
Captured Sphaere;48.010312;7.841415
Stephanusbrunnen ;47.981106;7.881348
Ritter Martin Malterer ;48.098924;7.957468
Fat Statue ;48.004365;7.857326
Sägemännchen;47.978626;7.886146
DAV Kletterhalle ;47.981102;7.818523
Drehdingens;47.996445;7.817514
Stone Samples ;47.982908;7.805195
Plätscherbrunnenportal;47.984565;7.840844
Freibourg;48.000311;7.858467
Deicheleweiher oder St. Valentin;47.980148;7.856391
Waldhaus Freiburg;47.972812;7.841885
Tierversammlung für die Hauptstrasse;48.007816;7.85962
Soldiers Sculpture;48.00578;7.850555
Blindenheim ;48.007066;7.857566
;47.970138;7.83941
Sandbrunnen;48.014085;7.816545
Betzenhausener Wappen;48.011429;7.809341
Gedenkbrunnen;48.017047;7.801359
Best Beer in Town;47.979226;7.819406
Nepomuk;47.977177;7.798019
Kreuz;47.993387;7.799036
Red Street Art;47.994962;7.811718
freiburg: griffin;47.993335;7.857466
Gedenkstein;47.97071;7.852224
Kleiner Brunnen am Müller;48.006462;7.846358
Echsenbrunnen;47.989558;7.857401
Dreisam Badehose;47.992294;7.837317
Kletterwald;47.997243;7.780742
Gundelfingen Bell Tower ;48.038423;7.868675
Evangelische Kirche Günterstal ;47.96594;7.85695
Stadthalle Freiburg;47.986879;7.872724
Wegstein Eselsbackenweg;47.980813;7.85814
Steineule;47.983131;7.887281
Weißer Drache;48.011294;7.810672
Monument aux morts, Freibourg;48.009245;7.841794
Herdern Bahnhof;48.008491;7.851207
Madeira-Frösche;48.023464;7.853875
Kampf der Liebenden;48.006636;7.844233
Kreuz Ebnet 2;47.98599;7.907836
Segelschiff;47.987812;7.87544
100 Jahre Gedenkstein Turnverein Waldkirch;48.089493;7.957989
Stiftkreuz;47.97829;7.803785
Dreisamhalle Ebnet;47.984577;7.903754
Jesus Sculpture In The Park;48.006733;7.858776
Kirche St.  Georgen;47.981392;7.79354
Copper cross;47.965494;7.83352
Der Millenium;48.022625;7.827239
Bunte Kinder;48.01607;7.803992
St. Anna Kapelle;47.984776;7.911986
Agentur für Arbeit;48.002941;7.831666
Wetzstein 1973;48.095416;7.961398
Wegweiser Jägermattenweg;47.981035;7.863434
Münsterspitze Günterstal;47.962088;7.861815
Röhrenkunst;48.064353;7.879577
Jesus wacht über den Wein;47.972622;7.805551
Maria und der Drache;47.987634;7.863947
Kunstraum Heiliggeiststrasse;48.00447;7.842485
Bunte Wasserrutsche ;47.993238;7.813152
Spielplatz am Heimatweg;48.070754;7.902768
Big Table;47.979914;7.821559
evangelisch-lutherische Kirche;48.000652;7.858593
Engel mit Kranz;48.001366;7.858644
Fountain ;47.965773;7.855637
Glashaus;47.999345;7.79216
Metal Duck ;48.037979;7.812036
Storchennest mit Lüfter;48.014819;7.780588
Gedenkstein WW2 über Herdern;48.010093;7.873154
Parallel Stone Lines ;48.04116;7.871651
Wegweiser Jägermattenweg II;47.980965;7.85916
Fontäne;47.989741;7.904914
Heinz Ritter- Halle;48.06187;7.842762
Waldgeist;47.97116;7.913204
MC Black Rider Vereinsheim;48.081465;7.944825
Energiesäule;47.994377;7.811359
Brunnen;47.997244;7.847833
Kletterpark Waldkirch;48.088687;7.958693
Mother and Son;48.01316;7.812516
Drachennest;47.981165;7.85474
Schmitz Katze;47.992289;7.832367
Jesus und Maria;48.104564;7.972679
Gedenkkreuz Bruggastraße;47.985645;7.906257
Long Slide;47.995424;7.811809
Kornkreis;47.990767;7.848453
Quercus robur Stieleiche;47.968875;7.854033
Gebeugter Mann;48.000876;7.833058
Hotdog;48.000853;7.813744
Erbaut 1900;47.990344;7.850153
Hegar Haus;47.991645;7.844335
Alban Stolz;47.995152;7.8543
Rundes Wohnhaus;47.994384;7.835286
Futschikato;47.995387;7.844636
Mosaikschlange;48.097072;7.974736
Sträflingskugel;48.000668;7.793864
Brunnen Wilhelm Ecke Moltke;47.993217;7.84284
Post Jahn 2;47.989416;7.890127
Scuba Diver;47.995187;7.840964
Schwarzwaldmädel;47.989548;7.847529
House of Dwarfs;47.980805;7.833876
Die Hand;48.004853;7.823208
Haus Zur Heiligen Barbara;47.983685;7.894521
Passion;48.02429;7.81589
Wand Relief Aok;47.998946;7.847563
Pavillon;47.995957;7.783479
Abdruck;48.012116;7.813499
Riesen Rettungsring;48.007403;7.838655
Morlock Luftschacht;47.999812;7.856675
Fels im Stadtgarten;47.997988;7.856749
Hänsel Und Gretel;47.998236;7.783691
