Name,lat,lon,tze
"Hochburg ""Deo aeterniate sacrum.""",48.11768600000000,7.90015200000000,Pokestop
Hochburg Küferhof-Brunnen,48.11745700000000,7.90062700000000,Pokestop
Honig,48.11747000000000,7.89868400000000,Pokestop
Die Honigbiene,48.11678200000000,7.89799400000000,Pokestop
Hochburg Ausbau Der Burg,48.11719400000000,7.90140700000000,Pokestop
Innentor (Ruine Hochburg),48.11649900000000,7.90040100000000,Pokestop
Sexauer Aufgang,48.11596300000000,7.89954500000000,Pokestop
Hochburg Geschichtliche Entwicklung,48.11683000000000,7.89957600000000,Pokestop
Besucherbergwerk Grube Caroline,48.11913300000000,7.90929200000000,Pokestop
Am Gutensberg,48.10865800000000,7.73148700000000,Pokestop
Stahlfigur,48.10875200000000,7.86075300000000,Pokestop
Das Gärtchen ,48.10766800000000,7.86246400000000,Pokestop
Disco Wand,48.10716600000000,7.86114200000000,Pokestop
Old Niemännle ,48.10581000000000,7.86114700000000,Pokestop
Stone Face,48.10544600000000,7.86571000000000,Pokestop
Ziegelhof Brunnen,48.10274000000000,7.77450400000000,Pokestop
Den gefallenen Helden,48.10305700000000,7.77697600000000,Arena
Mühlenrad,48.08073500000000,7.91902300000000,Pokestop
Figuren Im Raum,48.10536800000000,7.86599900000000,Pokestop
Baden und Camping am Silbersee,48.06052100000000,7.82035000000000,Pokestop
Evangelische Kirche Windenreute,48.11649200000000,7.88238600000000,Pokestop
Winzer Skulptur,48.10688500000000,7.86379200000000,Pokestop
Die Beobachter,48.10639000000000,7.86466300000000,Pokestop
Holzpaar,48.10410100000000,7.86688700000000,Pokestop
Pfarrkirche St. Georg,48.06361000000000,7.78148500000000,Pokestop
Rathaus Buchheim,48.06383100000000,7.78062700000000,Pokestop
Jupiter ,48.06238800000000,7.78772900000000,Pokestop
Flurbereinigung March 1981,48.06604900000000,7.79627100000000,Pokestop
Spielplatz Rebstuhlweg ,48.06533100000000,7.78486700000000,Pokestop
Sternenwarte March,48.06356400000000,7.79461600000000,Pokestop
Bahnhof Nimburg,48.10580400000000,7.76028200000000,Pokestop
Stone Fingaz,48.10219100000000,7.90592900000000,Pokestop
Wassertretanlage,48.10381000000000,7.90517500000000,Pokestop
Brunnen,48.06414100000000,7.78017100000000,Pokestop
St. Vinzentius,48.07021800000000,7.77081500000000,Pokestop
Sackträgerbrunnen,48.06497300000000,7.89051900000000,Pokestop
T-Rex,48.06483400000000,7.89141800000000,Pokestop
Gasthaus Hirschen,48.06477800000000,7.89193400000000,Pokestop
3 Etagen Brunnen,48.06793000000000,7.89341500000000,Pokestop
1000-Jahr-Feier Brunnen,48.06973600000000,7.88686800000000,Pokestop
Brunnen Mauracher Berg,48.07046500000000,7.88756700000000,Pokestop
Birdie,48.06895000000000,7.88236300000000,Arena
Röhrenkunst,48.06435300000000,7.87957700000000,Pokestop
Fürstenberg Graffiti,48.06864200000000,7.88221000000000,Pokestop
Gasthaus zum Gruenen Baum,48.06748500000000,7.88163100000000,Pokestop
Zum Grünen Baum,48.06808700000000,7.88191300000000,Pokestop
60. Geburtstag,48.06646800000000,7.88164900000000,Pokestop
Blechbläser Bei Nacht,48.06723500000000,7.88281200000000,Pokestop
Postbank ,48.06735400000000,7.88554600000000,Pokestop
roccafe,48.06644500000000,7.88402500000000,Pokestop
Bücherzelle Denzlingen,48.06699400000000,7.88323100000000,Pokestop
Mühlenstein,48.06630400000000,7.88583700000000,Pokestop
Brunnen vor der Volksbank,48.06793400000000,7.88675400000000,Pokestop
Denzlingen St. Jakobus Kirche,48.07021400000000,7.89075600000000,Pokestop
Kompass,48.06480800000000,7.81678400000000,Pokestop
Wasserskilift Freiburg,48.06469600000000,7.81424500000000,Pokestop
Orangene Planierwalze,48.05914000000000,7.81066400000000,Pokestop
Alte Arbeitsgeräte,48.10152100000000,7.88027800000000,Pokestop
Freiwillige Feuerwehr,48.10179800000000,7.87940100000000,Pokestop
Bahnhof Kollmarsreute,48.09834600000000,7.88690900000000,Pokestop
Brunnen Der Konversation,48.09427400000000,7.72976600000000,Pokestop
Ehre Die Scholle,48.09509300000000,7.73440800000000,Pokestop
Skulptur an der Elz,48.10857900000000,7.85243000000000,Pokestop
Metallköpfe,48.10874600000000,7.85401700000000,Pokestop
Baumskulptur aus Stahl mit Namensblättern,48.10997400000000,7.84881300000000,Pokestop
Tafelberg Emmendingen,48.10990600000000,7.84924900000000,Pokestop
Bergkirche Nimburg,48.09642500000000,7.77018700000000,Pokestop
Fünf Bogen Brücke ,48.09339900000000,7.74905900000000,Pokestop
Steinbrunnen,48.09875500000000,7.74592600000000,Pokestop
Ehemalige Synagoge Eichstetten,48.09353700000000,7.74356300000000,Pokestop
Willkommen in Eichstetten,48.09637700000000,7.74505300000000,Pokestop
Kreuz Glottertal Wasserbecken,48.06359600000000,7.92546500000000,Pokestop
Buchheim - Großer spielplatz,48.05857500000000,7.77345100000000,Pokestop
Gallus Kirche,48.05504800000000,7.78086500000000,Pokestop
Alte Eisenbahnbrücke,48.05580200000000,7.77081100000000,Pokestop
Alte Traubenpresse/WG,48.09207000000000,7.78565200000000,Pokestop
Denzlinger Wappen,48.06773800000000,7.89532500000000,Pokestop
Spielplatz im Heidach,48.06843300000000,7.90570300000000,Pokestop
Suggentalerweg,48.06829300000000,7.91328300000000,Pokestop
Spuren Suchen 8 - Dorfbach Im Mittelalter,48.06195900000000,7.90936700000000,Pokestop
Neuapostolische Kirche,48.06616700000000,7.90154300000000,Pokestop
Wassermer Brunnen,48.09511800000000,7.85947300000000,Pokestop
Clubheim VFR Vörstetten,48.06080700000000,7.84417200000000,Pokestop
Viehweg,48.06124100000000,7.84181700000000,Pokestop
Heinz Ritter- Halle,48.06187000000000,7.84276200000000,Pokestop
Vörstetten - Kirche am Friedhof,48.06445500000000,7.84930400000000,Pokestop
Vörstetten Löwen,48.06518600000000,7.84941800000000,Pokestop
Kriegsdenkmal,48.06463600000000,7.84977100000000,Pokestop
Station Drechseln,48.06602100000000,7.85320000000000,Pokestop
Alte Schmiede,48.06577200000000,7.85263600000000,Pokestop
Nerthus-Kult,48.06552300000000,7.85294800000000,Pokestop
Gedenkstein,48.09413100000000,7.84285700000000,Pokestop
Schützenhaus Sexau,48.09825000000000,7.89889800000000,Pokestop
Altes Holzsägewerk,48.09638200000000,7.90056600000000,Pokestop
Alte Weinpresse,48.09614100000000,7.89989700000000,Pokestop
Aussichtspunkt ,48.09717300000000,7.89797700000000,Pokestop
Klettergerüst ,48.09733100000000,7.89876000000000,Pokestop
Die Botanik der Rebe - Weinlehrpfad Waldkirch-Buchholz,48.09087000000000,7.90739200000000,Pokestop
Weinlehrpfad Weinlese,48.08962700000000,7.90886100000000,Pokestop
Weißer Burgunder,48.08915500000000,7.92215000000000,Pokestop
Weinlehrpfad - Chardonnay,48.08893000000000,7.91971400000000,Pokestop
Weinlehrpfad - Bodenpflege,48.08970800000000,7.92204100000000,Pokestop
Bachhäusle,48.05214300000000,7.78436800000000,Pokestop
Hl. St. Antonius,48.05213900000000,7.78533600000000,Pokestop
Einheimische Laubbäume,48.05162100000000,7.78547400000000,Pokestop
Heimatmuseum - ehem. Pfarrscheune,48.05269400000000,7.78446700000000,Pokestop
Evangelische Kirche,48.05233600000000,7.78409500000000,Pokestop
Teepavillion,48.05131000000000,7.78544300000000,Pokestop
Marcher Rathaus,48.05287100000000,7.78409800000000,Pokestop
Kreuz 2 March ,48.05547800000000,7.78313500000000,Pokestop
Friedhofssäule Eingang,48.05461500000000,7.78720600000000,Pokestop
Old Cross,48.05022400000000,7.79785100000000,Pokestop
Krempstein 2006,48.05209700000000,7.79430900000000,Pokestop
Bierkeller,48.05763200000000,7.79181700000000,Pokestop
Futterholzweg,48.05915500000000,7.83515000000000,Pokestop
GreenCity Ortseingang Hochdorf,48.05839500000000,7.81106800000000,Pokestop
St. Agatha Kapelle,48.05605000000000,7.80888500000000,Pokestop
Heiligen Kreuz am Berg Hochdorf,48.05617000000000,7.80775400000000,Pokestop
Wegkreuz,48.05471700000000,7.80309700000000,Pokestop
Kirche Hochdorf,48.04996000000000,7.80140500000000,Pokestop
Historischer Bottich,48.08434300000000,7.80998900000000,Pokestop
Blick über den Marchhügel,48.08702100000000,7.77963900000000,Pokestop
Findling bei Reute,48.08931800000000,7.83271900000000,Pokestop
Kirche OBERREUTE,48.08319600000000,7.82147000000000,Pokestop
Dorfbrunnen,48.08169300000000,7.82412400000000,Pokestop
Kleiner Brunnen,48.08785500000000,7.89285300000000,Pokestop
St. Pankratius Kirche,48.08132200000000,7.91759500000000,Pokestop
Heldenstatue,48.08269500000000,7.91651500000000,Pokestop
Buchholz Boden Landschaft Klima,48.08785100000000,7.91758000000000,Pokestop
Weinlehrpfad Weißer Riesling,48.08744400000000,7.91804200000000,Pokestop
Weinlehrpfad Bergkreuz,48.08701700000000,7.91769300000000,Pokestop
Buchholzer Weinlehrpfad,48.08626200000000,7.91831600000000,Pokestop
Weinlehrpfad Rebenneuanlage,48.08913900000000,7.91746700000000,Pokestop
Marie Mit Bachus,48.08623900000000,7.92160200000000,Pokestop
Rebschädlinge,48.08709500000000,7.92010900000000,Pokestop
Weinlehrpfad - Trockenmauern,48.08656900000000,7.91913800000000,Pokestop
Weinbereitung,48.08776100000000,7.92074800000000,Pokestop
Weinlehrpfad Rebkrankheiten,48.08688000000000,7.92116300000000,Pokestop
Umweltschonender Weinbau,48.08828500000000,7.92191700000000,Pokestop
Rugby Club Freiburg ,48.04992000000000,7.78898100000000,Pokestop
Gedenkkreuz (Waldkirch-Buchholz),48.08603400000000,7.90909700000000,Pokestop
Weinlehrpfad Daechle-Erziehung,48.08720500000000,7.91207500000000,Pokestop
Weinlehrpfad Aussichtspunkt Wachtbühl,48.08833800000000,7.91256100000000,Pokestop
Weinlehrpfad Geschichte,48.08754300000000,7.91083800000000,Pokestop
Buchholz Schillerwein,48.08911600000000,7.90907100000000,Pokestop
Alter Pflug,48.04775600000000,7.80158100000000,Pokestop
Dorfbrunnen Hochdorf,48.04703600000000,7.80198300000000,Pokestop
Champhol Platz,48.14952200000000,7.74921600000000,Pokestop
Flower Power,48.14771100000000,7.75058600000000,Pokestop
Wandkunst Der Reiter,48.14857300000000,7.75084300000000,Pokestop
Wasserwerk Riegel,48.14783600000000,7.75096300000000,Pokestop
Robben,48.15025300000000,7.74776900000000,Pokestop
Mithras Tempel,48.14997200000000,7.74661600000000,Pokestop
Rusty Bikes,48.14819600000000,7.74594800000000,Pokestop
Wegkreuz,48.14932200000000,7.74748600000000,Pokestop
Römischer Ziehbrunnen,48.14959200000000,7.74839300000000,Pokestop
Riegeler Lösswände,48.14724800000000,7.74953600000000,Pokestop
Michaelskapelle,48.14737600000000,7.75245800000000,Pokestop
Statue eines Boccia Spielers,48.14937200000000,7.75388400000000,Pokestop
Riegeler Brauhaus,48.14967300000000,7.75343800000000,Pokestop
Alte Schleuse,48.14975300000000,7.75378100000000,Pokestop
Stahl Baum,48.14876200000000,7.75381700000000,Pokestop
Riegeler Brauerei,48.14742400000000,7.75422700000000,Pokestop
Kinderkunsttage 2003,48.15027300000000,7.75297900000000,Pokestop
Alter Begrenzungsstein ,48.15091500000000,7.75271200000000,Pokestop
Mostpresse mit Eisenspindel,48.13902800000000,7.80599900000000,Pokestop
Zisterzienserabtei Tennenbach,48.14487800000000,7.89617400000000,Pokestop
Keppenbach Eglise,48.14408100000000,7.91981600000000,Pokestop
Winzergenossenschaft Mundingen,48.13986900000000,7.83003600000000,Pokestop
Marterpfahl,48.14047200000000,7.69337700000000,Pokestop
Jesus Kreuz,48.13946000000000,7.70848500000000,Pokestop
Eichbergturm,48.13340400000000,7.86587600000000,Pokestop
Pilzbrunnen,48.16326700000000,7.79713900000000,Pokestop
Weinbrunnen,48.16126800000000,7.79374900000000,Pokestop
Winzergenossenschaft Riegel a. K.,48.14746800000000,7.73975000000000,Pokestop
Riegeler Stadtstein,48.14806700000000,7.73913800000000,Pokestop
Gasthaus Zum Übergang,48.13088200000000,7.82131900000000,Pokestop
Gedenkstein Übergang zur Heimat,48.13118200000000,7.82077200000000,Pokestop
Schönste Mauer Mundingen,48.13214100000000,7.82899500000000,Pokestop
Weinprinzessin Mundingen,48.12988700000000,7.82751200000000,Pokestop
"History of ""Mönchshof""",48.13658600000000,7.83710400000000,Arena
Brunnen Rebflurbereinigung,48.13793200000000,7.82441400000000,Pokestop
Heimbacher Wappen,48.16208400000000,7.83042400000000,Pokestop
Antiker Engel,48.16060600000000,7.82964500000000,Pokestop
1200 Jahre Heimbach,48.16143800000000,7.82971800000000,Pokestop
Heimbacher Friedhof,48.16520800000000,7.83232700000000,Pokestop
Brückleweg,48.16197200000000,7.83494300000000,Pokestop
Baummann,48.16370300000000,7.83260000000000,Pokestop
Gasthaus zum Sternen,48.16314300000000,7.83101400000000,Pokestop
Historischer Brunnen No. 4 of 7,48.16373200000000,7.83026800000000,Pokestop
Historischer Brunnen No. 1 of 7,48.16401900000000,7.83230700000000,Pokestop
Fratze An Der Kirchenmauer,48.16371500000000,7.83170000000000,Pokestop
Antike Mühlsteine,48.16255900000000,7.82912900000000,Pokestop
Historischer Brunnen No. 2 of 7,48.16452200000000,7.83130100000000,Pokestop
