Hochburg "Deo aeterniate sacrum.",48.11768600000000,7.90015200000000
Hochburg Küferhof-Brunnen,48.11745700000000,7.90062700000000
Honig,48.11747000000000,7.89868400000000
Die Honigbiene,48.11678200000000,7.89799400000000
Hochburg Ausbau Der Burg,48.11719400000000,7.90140700000000
Innentor (Ruine Hochburg),48.11649900000000,7.90040100000000
Sexauer Aufgang,48.11596300000000,7.89954500000000
Hochburg Geschichtliche Entwicklung,48.11683000000000,7.89957600000000
Besucherbergwerk Grube Caroline,48.11913300000000,7.90929200000000
Am Gutensberg,48.10865800000000,7.73148700000000
Stahlfigur,48.10875200000000,7.86075300000000
Das Gärtchen ,48.10766800000000,7.86246400000000
Disco Wand,48.10716600000000,7.86114200000000
Old Niemännle ,48.10581000000000,7.86114700000000
Stone Face,48.10544600000000,7.86571000000000
Ziegelhof Brunnen,48.10274000000000,7.77450400000000
Den gefallenen Helden,48.10305700000000,7.77697600000000
Mühlenrad,48.08073500000000,7.91902300000000
Figuren Im Raum,48.10536800000000,7.86599900000000
Baden und Camping am Silbersee,48.06052100000000,7.82035000000000
Evangelische Kirche Windenreute,48.11649200000000,7.88238600000000
Winzer Skulptur,48.10688500000000,7.86379200000000
Die Beobachter,48.10639000000000,7.86466300000000
Holzpaar,48.10410100000000,7.86688700000000
Pfarrkirche St. Georg,48.06361000000000,7.78148500000000
Rathaus Buchheim,48.06383100000000,7.78062700000000
Jupiter ,48.06238800000000,7.78772900000000
Flurbereinigung March 1981,48.06604900000000,7.79627100000000
Spielplatz Rebstuhlweg ,48.06533100000000,7.78486700000000
Sternenwarte March,48.06356400000000,7.79461600000000
Bahnhof Nimburg,48.10580400000000,7.76028200000000
Stone Fingaz,48.10219100000000,7.90592900000000
Wassertretanlage,48.10381000000000,7.90517500000000
Brunnen,48.06414100000000,7.78017100000000
St. Vinzentius,48.07021800000000,7.77081500000000
Sackträgerbrunnen,48.06497300000000,7.89051900000000
T-Rex,48.06483400000000,7.89141800000000
Gasthaus Hirschen,48.06477800000000,7.89193400000000
3 Etagen Brunnen,48.06793000000000,7.89341500000000
1000-Jahr-Feier Brunnen,48.06973600000000,7.88686800000000
Brunnen Mauracher Berg,48.07046500000000,7.88756700000000
Birdie,48.06895000000000,7.88236300000000
Röhrenkunst,48.06435300000000,7.87957700000000
Fürstenberg Graffiti,48.06864200000000,7.88221000000000
Gasthaus zum Gruenen Baum,48.06748500000000,7.88163100000000
Zum Grünen Baum,48.06808700000000,7.88191300000000
60. Geburtstag,48.06646800000000,7.88164900000000
Blechbläser Bei Nacht,48.06723500000000,7.88281200000000
Postbank ,48.06735400000000,7.88554600000000
roccafe,48.06644500000000,7.88402500000000
Bücherzelle Denzlingen,48.06699400000000,7.88323100000000
Mühlenstein,48.06630400000000,7.88583700000000
Brunnen vor der Volksbank,48.06793400000000,7.88675400000000
Denzlingen St. Jakobus Kirche,48.07021400000000,7.89075600000000
Kompass,48.06480800000000,7.81678400000000
Wasserskilift Freiburg,48.06469600000000,7.81424500000000
Orangene Planierwalze,48.05914000000000,7.81066400000000
Alte Arbeitsgeräte,48.10152100000000,7.88027800000000
Freiwillige Feuerwehr,48.10179800000000,7.87940100000000
Bahnhof Kollmarsreute,48.09834600000000,7.88690900000000
Brunnen Der Konversation,48.09427400000000,7.72976600000000
Ehre Die Scholle,48.09509300000000,7.73440800000000
Skulptur an der Elz,48.10857900000000,7.85243000000000
Metallköpfe,48.10874600000000,7.85401700000000
Baumskulptur aus Stahl mit Namensblättern,48.10997400000000,7.84881300000000
Tafelberg Emmendingen,48.10990600000000,7.84924900000000
Bergkirche Nimburg,48.09642500000000,7.77018700000000
Fünf Bogen Brücke ,48.09339900000000,7.74905900000000
Steinbrunnen,48.09875500000000,7.74592600000000
Ehemalige Synagoge Eichstetten,48.09353700000000,7.74356300000000
Willkommen in Eichstetten,48.09637700000000,7.74505300000000
Kreuz Glottertal Wasserbecken,48.06359600000000,7.92546500000000
Buchheim - Großer spielplatz,48.05857500000000,7.77345100000000
Gallus Kirche,48.05504800000000,7.78086500000000
Alte Eisenbahnbrücke,48.05580200000000,7.77081100000000
Alte Traubenpresse/WG,48.09207000000000,7.78565200000000
Denzlinger Wappen,48.06773800000000,7.89532500000000
Spielplatz im Heidach,48.06843300000000,7.90570300000000
Suggentalerweg,48.06829300000000,7.91328300000000
Spuren Suchen 8 - Dorfbach Im Mittelalter,48.06195900000000,7.90936700000000
Neuapostolische Kirche,48.06616700000000,7.90154300000000
Wassermer Brunnen,48.09511800000000,7.85947300000000
Clubheim VFR Vörstetten,48.06080700000000,7.84417200000000
Viehweg,48.06124100000000,7.84181700000000
Heinz Ritter- Halle,48.06187000000000,7.84276200000000
Vörstetten - Kirche am Friedhof,48.06445500000000,7.84930400000000
Vörstetten Löwen,48.06518600000000,7.84941800000000
Kriegsdenkmal,48.06463600000000,7.84977100000000
Station Drechseln,48.06602100000000,7.85320000000000
Alte Schmiede,48.06577200000000,7.85263600000000
Nerthus-Kult,48.06552300000000,7.85294800000000
Gedenkstein,48.09413100000000,7.84285700000000
Schützenhaus Sexau,48.09825000000000,7.89889800000000
Altes Holzsägewerk,48.09638200000000,7.90056600000000
Alte Weinpresse,48.09614100000000,7.89989700000000
Aussichtspunkt ,48.09717300000000,7.89797700000000
Klettergerüst ,48.09733100000000,7.89876000000000
Die Botanik der Rebe - Weinlehrpfad Waldkirch-Buchholz,48.09087000000000,7.90739200000000
Weinlehrpfad Weinlese,48.08962700000000,7.90886100000000
Weißer Burgunder,48.08915500000000,7.92215000000000
