Bahnhof Littenweiler,47.981685,7.895116,Arena
Stephanienbrunnen,47.979693,7.853405,Arena
Sonnenuhr Gasthaus zum Stahl,47.992119,7.873236,Arena
Physikalisches Institut,48.002315,7.851216,Arena
Storchenskulptur,48.067344,7.882411,Arena
Trainwreckmemorial,48.032205,7.805155,Arena
Schwarzwaldzoo Waldkirch,48.088097,7.959122,Arena
Eichhörnchen am Baumkronenweg,48.087038,7.958328,Arena
Biosk Stadthalle,47.987666,7.873806,Arena
Steinpendel Ohne Stein,48.011811,7.780714,Arena
Freiburger Mundenhof - Bisonskulptur,48.01195,7.778494,Arena
Bandstand,47.996245,7.798136,Arena
Brunnen am Scherrer Platz,47.990355,7.8198,Arena
Ev. Stadtkirche,48.092501,7.958265,Arena
Emilie,47.989469,7.86018,Arena
Zentrum Oberwiehre,47.988271,7.869321,Arena
Wasserspucker am Waldsee,47.982439,7.875828,Arena
Bahnhof Waldkirch,48.0955,7.957469,Arena
Wilhelm-Eschle-Platz,47.987522,7.865518,Arena
Dampfportal,48.000725,7.832458,Arena
Schlossbergturm,47.994991,7.861996,Arena
Maria Hilf Kirche,47.987903,7.864498,Arena
St. Josef,48.005729,7.833247,Arena
Weißer Storch,48.008131,7.834734,Arena
4 Headed Fountain,48.006317,7.818108,Arena
Wooden Powercube,48.002226,7.832437,Arena
Stein Weltkugel,48.00688,7.821156,Arena
Holzenten am See,48.013566,7.813727,Arena
Waldorfschule,47.975755,7.815395,Arena
Wandkatalysator,47.997797,7.793984,Arena
Mooswaldwiibli,48.023732,7.808748,Arena
Fritz,48.019918,7.855486,Arena
Atomkopf Affen,48.022486,7.850047,Arena
Gesprungene Schale,47.974135,7.827934,Arena
Süden,47.97508,7.825427,Arena
Trinity Balance,47.985091,7.833418,Arena
Krokodil II,47.996764,7.786986,Arena
Windkuh,47.990744,7.871528,Arena
Rundwanderweg,47.99872,7.780329,Arena
Friede Auf Deinem Weg,48.046158,7.88016,Arena
Beautiful Fountain,48.005572,7.823108,Arena
Figur am Rosengarten,48.006977,7.824757,Arena
Doppelrolle,48.013399,7.836443,Arena
Georgskirche,48.066716,7.882522,Arena
Löwenbrauerei-Turm,47.995543,7.835816,Arena
Stone Hats,47.993227,7.840468,Arena
Landschaftsschutzgebiet Konrad-Guenther-Park,47.986334,7.878578,Arena
Baum der Erkenntnis,47.971133,7.916853,Arena
Symbiose Fettkötter,47.992061,7.834759,Arena
INRI an Endhaltestelle L27,48.011159,7.863188,Arena
Grubenhaus,48.065501,7.852734,Arena
Alter Kessel,48.023155,7.85346,Arena
Münster Brunnen,47.995938,7.852346,Arena
Casino König,47.988758,7.866884,Arena
Landratsamt Freiburg im Breisgau,47.999422,7.857202,Arena
Uni Bibliothek,47.9939,7.845251,Arena
Weißer Engel,48.009016,7.840476,Arena
Haltestelle Heinrich-von-Stephan Str.,47.986216,7.836598,Arena
4 Säulen,48.001132,7.822665,Arena
Marios Traum (Röhren und Brunnen)   ,48.02813,7.845803,Arena
Dimension Cube,48.009446,7.810859,Arena
Pink Murale,48.007776,7.854125,Arena
Modern Art Bauhaus Style,47.983139,7.820202,Arena
Brücke Des Todes,48.008957,7.80391,Arena
Littenweiler Eisbär,47.981191,7.890447,Arena
Red Chair,48.021137,7.839846,Arena
Kleine Buckelrutsche,48.004982,7.815026,Arena
Church Bruehl,48.008738,7.849513,Arena
Wind Helix,48.001303,7.858999,Arena
Reaktortrommel,48.024069,7.842018,Arena
Red Tubes,47.978371,7.814565,Arena
St. Georgener Dorfbrunnen,47.981199,7.806923,Arena
St Georgen Clock Tower,47.97938,7.814093,Arena
Medical A,47.978115,7.815342,Arena
Zipper and Grapes Fountain,47.978889,7.804593,Arena
Katzensäule,47.981376,7.888598,Arena
Auf Wiedersehen,48.01077,7.84108,Arena
Eichhalde Weinbauer,48.006603,7.864816,Arena
Dinosaur Jr.,47.996268,7.820276,Arena
Festung Freiburger Schloss,47.99585,7.865916,Arena
Stadtmauer Ebnet 1612,47.987534,7.905346,Arena
Waldmensch Weggabler,47.970234,7.844469,Arena
Riesenkreuz with Cage,47.995644,7.874508,Arena
Wendlinger Brunnen,47.975246,7.793061,Arena
Skulptur vor dem Bauamt,48.00159,7.861255,Arena
Münstersteinbruch Denkmal,47.98244,7.839219,Arena
Hüterin des Wassers,48.03959,7.814233,Arena
