Jugendarbeit Weingarten 	https://www.google.com/maps/place/47.994096,7.815105
Krozinger Straße 80 	https://www.google.com/maps/place/47.993661,7.814585
Tulpen	https://www.google.com/maps/place/47.995439,7.850358
Gold and green	https://www.google.com/maps/place/47.993651,7.853841
The Lighter	https://www.google.com/maps/place/47.986295,7.815996
Brunnen Kartäuserstrasse	https://www.google.com/maps/place/47.991727,7.859707
Spieloffensive	https://www.google.com/maps/place/47.993362,7.814435
Kreuz St. Michael	https://www.google.com/maps/place/47.990335,7.820992
Town Archive	https://www.google.com/maps/place/47.994398,7.850862
Silbergruben - Kiesgrubenweg 	https://www.google.com/maps/place/47.991507,7.782959
Wooden Tower	https://www.google.com/maps/place/48.010331,7.850572
Schmetterling	https://www.google.com/maps/place/48.012156,7.821916
Bender Head at Westbad	https://www.google.com/maps/place/48.011354,7.82278
Freiburg: Schlossberg cross	https://www.google.com/maps/place/47.994258,7.857976
Biergarten	https://www.google.com/maps/place/47.992984,7.788482
Kreuz vor der Baptisten-Gemeinde	https://www.google.com/maps/place/48.006287,7.850248
Pencil Case	https://www.google.com/maps/place/47.986247,7.816812
Monolith	https://www.google.com/maps/place/47.989142,7.7943
Badenova Häuschen	https://www.google.com/maps/place/47.993731,7.821809
Tree Cut	https://www.google.com/maps/place/48.008638,7.85857
Ludwigs-Hoehe	https://www.google.com/maps/place/47.993678,7.858235
Staudinger Säule Nord	https://www.google.com/maps/place/47.992561,7.825431
Kopfloser Nick	https://www.google.com/maps/place/47.987131,7.847922
Mein Baby	https://www.google.com/maps/place/47.992475,7.854519
Alte Universität 	https://www.google.com/maps/place/47.995254,7.847691
Freiburg nach dem Schneefall ¦	https://www.google.com/maps/place/47.99248,7.853723
Freiburg: Golden Bear	https://www.google.com/maps/place/47.99334,7.853992
Stolperstein Dr Hans Pollock	https://www.google.com/maps/place/47.986658,7.847167
Brunnen Schwabentorring	https://www.google.com/maps/place/47.991241,7.85435
Calvary Chapel	https://www.google.com/maps/place/47.994082,7.847908
Schneckenbrunnen Spemannplatz	https://www.google.com/maps/place/47.971591,7.837683
Mach Blau	https://www.google.com/maps/place/48.074239,7.900382
Balanceakt	https://www.google.com/maps/place/47.991124,7.878989
Engels Wappen	https://www.google.com/maps/place/47.984548,7.837729
Place De La Petanque	https://www.google.com/maps/place/48.07328,7.903657
Blume	https://www.google.com/maps/place/47.995072,7.848977
Kreuz auf der Haid	https://www.google.com/maps/place/47.988986,7.785175
Bärchen23	https://www.google.com/maps/place/47.995823,7.835137
Großes Rad	https://www.google.com/maps/place/47.991711,7.793943
Donald Duck Graffiti 	https://www.google.com/maps/place/48.09692,7.965187
Steini Schlumpf	https://www.google.com/maps/place/47.99465,7.859618
Majim Steg	https://www.google.com/maps/place/47.987469,7.903327
Lehen	https://www.google.com/maps/place/48.0166,7.801058
Arachnides Kinderfang Netz	https://www.google.com/maps/place/47.990967,7.879178
Crazy Wall 	https://www.google.com/maps/place/47.992609,7.83305
Totes Gleis 	https://www.google.com/maps/place/47.976384,7.817444
